日期,经度,纬度
2020-01-25,0.0,0.0
2020-01-25,117.571079,34.865529
2020-01-25,0.0,0.0
2020-01-25,117.756996,36.85692
2020-01-25,0.0,0.0
2020-01-25,122.116394,37.509691
2020-01-25,121.600512,37.386901
2020-01-25,121.241073,37.559948
2020-01-25,0.0,0.0
2020-01-25,121.135914,37.377882
2020-01-25,121.185219,37.377533
2020-01-25,121.185219,37.377533
2020-01-25,121.239128,37.411747
2020-01-25,121.239128,37.411747
2020-01-25,121.276634,37.506615
2020-01-25,117.770596,35.904818
2020-01-25,0.0,0.0
2020-01-25,119.942657,37.169795
2020-01-25,119.979618,37.178717
2020-01-26,120.477813,37.646108
2020-01-26,0.0,0.0
2020-01-26,119.755597,36.382595
2020-01-26,0.0,0.0
2020-01-26,118.970717,36.35236
2020-01-26,118.980996,36.352256
2020-01-26,115.857963,28.683016
2020-01-26,117.120098,36.6512
2020-01-26,117.15067,36.191463
2020-01-26,117.101,36.1777
2020-01-26,118.970717,36.35236
2020-01-26,118.980996,36.352256
2020-01-26,116.689022,36.228235
2020-01-26,0.0,0.0
2020-01-26,116.689022,36.228235
2020-01-26,0.0,0.0
2020-01-26,116.817613,35.767769
2020-01-26,116.817934,35.768855
2020-01-26,117.11884,36.170434
2020-01-26,117.377622,36.215729
2020-01-26,117.377622,36.215729
2020-01-26,117.301219,35.891114
2020-01-26,120.415528,36.399964
2020-01-26,0.0,0.0
2020-01-26,117.817406,35.51918
2020-01-26,0.0,0.0
2020-01-26,114.316223,30.554235
2020-01-26,117.120098,36.6512
2020-01-26,121.317516,37.317425
2020-01-26,120.937657,36.969945
2020-01-26,120.703444,36.973283
2020-01-26,121.408486,37.528211
2020-01-27,118.980996,36.352256
2020-01-27,118.970717,36.35236
2020-01-27,118.970717,36.35236
2020-01-27,118.827979,36.697591
2020-01-27,116.000733,36.440461
2020-01-27,0.0,0.0
2020-01-27,116.000733,36.440461
2020-01-27,0.0,0.0
2020-01-27,117.124866,36.191562
2020-01-27,0.0,0.0
2020-01-27,117.15067,36.191463
2020-01-27,0.0,0.0
2020-01-27,118.980996,36.352256
2020-01-27,118.970717,36.35236
2020-01-27,118.970717,36.35236
2020-01-27,118.827979,36.697591
2020-01-27,120.33469,37.337191
2020-01-27,0.0,0.0
2020-01-27,110.805127,32.593465
2020-01-27,117.052453,36.676116
2020-01-27,117.079737,36.65386
2020-01-27,0.0,0.0
2020-01-27,116.689022,36.228235
2020-01-27,0.0,0.0
2020-01-27,116.689022,36.228235
2020-01-27,0.0,0.0
2020-01-27,116.817613,35.767769
2020-01-27,0.0,0.0
2020-01-27,120.415528,36.399964
2020-01-27,120.384599,36.062687
2020-01-27,117.817406,35.51918
2020-01-27,0.0,0.0
2020-01-27,120.937657,36.969945
2020-01-27,0.0,0.0
2020-01-27,120.711673,36.978941
2020-01-27,121.267741,37.498246
2020-01-27,117.580374,34.77297
2020-01-27,117.590936,34.766818
2020-01-27,117.590936,34.766818
2020-01-27,117.589721,34.76338
2020-01-27,117.120888,36.12377
2020-01-27,117.119739,36.130202
2020-01-27,121.600512,37.386901
2020-01-27,121.408486,37.528211
2020-01-27,120.405952,36.132242
2020-01-27,120.374731,36.087609
2020-01-27,117.770596,35.904818
2020-01-27,117.772463,35.914213
2020-01-28,118.827979,36.697591
2020-01-28,0.0,0.0
2020-01-28,116.086185,37.226437
2020-01-28,116.142478,37.172499
2020-01-28,122.022629,37.483032
2020-01-28,122.062881,37.492912
2020-01-28,117.226847,35.089726
2020-01-28,117.218217,35.090866
2020-01-28,118.827979,36.697591
2020-01-28,118.83827,36.699767
2020-01-28,118.83827,36.699767
2020-01-28,118.827979,36.697591
2020-01-28,116.689022,36.228235
2020-01-28,116.689138,36.199945
2020-01-28,116.689022,36.228235
2020-01-28,116.689138,36.199945
2020-01-28,117.11884,36.170434
2020-01-28,117.377622,36.215729
2020-01-28,120.415528,36.399964
2020-01-28,0.0,0.0
2020-01-28,117.580374,34.77297
2020-01-28,0.0,0.0
2020-01-28,117.576921,34.771756
2020-01-28,0.0,0.0
2020-01-28,120.374731,36.087609
2020-01-28,120.432697,36.145463
2020-01-28,121.154737,36.774741
2020-01-28,121.315707,36.877799
2020-01-29,118.827979,36.697591
2020-01-29,0.0,0.0
2020-01-29,117.105765,36.68273
2020-01-29,117.047849,36.667658
2020-01-29,119.350404,36.591901
2020-01-29,119.107078,36.70925
2020-01-29,117.528842,34.492635
2020-01-29,117.555792,34.550581
2020-01-29,117.555792,34.550581
2020-01-29,117.561123,34.549524
2020-01-29,117.561123,34.549524
2020-01-29,117.738356,34.560797
2020-01-29,117.124866,36.191562
2020-01-29,0.0,0.0
2020-01-29,117.226847,35.089726
2020-01-29,117.218217,35.090866
2020-01-29,118.827979,36.697591
2020-01-29,118.83827,36.699767
2020-01-29,118.83827,36.699767
2020-01-29,118.827979,36.697591
2020-01-29,117.111541,36.193535
2020-01-29,0.0,0.0
2020-01-29,116.981305,36.609531
2020-01-29,117.047849,36.667658
2020-01-29,117.580374,34.77297
2020-01-29,0.0,0.0
2020-01-29,117.576921,34.771756
2020-01-29,0.0,0.0
2020-01-29,120.455303,36.384614
2020-01-29,0.0,0.0
2020-01-30,118.395943,36.313656
2020-01-30,117.15067,36.191463
2020-01-30,118.827979,36.697591
2020-01-30,118.83827,36.699767
2020-01-30,117.105765,36.68273
2020-01-30,117.155347,36.70579
2020-01-30,115.980069,36.446162
2020-01-30,0.0,0.0
2020-01-30,117.226847,35.089726
2020-01-30,0.0,0.0
2020-01-30,118.827979,36.697591
2020-01-30,0.0,0.0
2020-01-30,117.11884,36.170434
2020-01-30,117.301219,35.891114
2020-01-30,117.580374,34.77297
2020-01-30,117.591304,34.763848
2020-01-30,117.591304,34.763848
2020-01-30,0.0,0.0
2020-01-31,118.827979,36.697591
2020-01-31,0.0,0.0
2020-01-31,120.517693,36.894096
2020-01-31,120.53187,36.879041
2020-01-31,115.944373,36.430123
2020-01-31,0.0,0.0
2020-01-31,118.827979,36.697591
2020-01-31,0.0,0.0
2020-01-31,116.454687,36.276589
2020-01-31,0.0,0.0
2020-01-31,116.988004,36.649269
2020-01-31,0.0,0.0
2020-01-31,116.988004,36.649269
2020-01-31,0.0,0.0
2020-01-31,121.267741,37.498246
2020-01-31,0.0,0.0
2020-02-01,117.071714,36.663525
2020-02-01,0.0,0.0
2020-02-01,120.517693,36.894096
2020-02-01,0.0,0.0
2020-02-01,119.350404,36.591901
2020-02-01,0.0,0.0
2020-02-01,117.15067,36.191463
2020-02-01,0.0,0.0
2020-02-01,116.454687,36.276589
2020-02-01,116.45723,36.2989
2020-02-01,117.111541,36.193535
2020-02-01,117.122875,36.180157
2020-02-01,0.0,0.0
2020-02-01,117.763197,35.513719
2020-02-01,117.757882,35.526678
2020-02-01,117.01059,36.717798
2020-02-01,0.0,0.0
2020-02-01,117.047849,36.667658
2020-02-01,116.988004,36.649269
2020-02-01,117.018034,36.658241
2020-02-01,0.0,0.0
2020-02-01,120.455303,36.384614
2020-02-01,0.0,0.0
2020-02-01,116.988004,36.649269
2020-02-01,0.0,0.0
2020-02-02,121.168409,36.78022
2020-02-02,0.0,0.0
2020-02-02,115.992304,36.455581
2020-02-02,0.0,0.0
2020-02-02,115.944373,36.430123
2020-02-02,0.0,0.0
2020-02-02,117.101,36.1777
2020-02-02,117.244312,36.159144
2020-02-02,117.226847,35.089726
2020-02-02,117.223353,35.093848
2020-02-02,117.223353,35.093848
2020-02-02,117.168091,35.099839
2020-02-02,116.817613,35.767769
2020-02-02,0.0,0.0
2020-02-02,117.763197,35.513719
2020-02-02,117.815081,35.517512
2020-02-02,117.817406,35.51918
2020-02-02,117.768252,35.523582
2020-02-02,117.768252,35.523582
2020-02-02,117.626941,35.483039
2020-02-02,117.01059,36.717798
2020-02-02,116.988746,36.685078
2020-02-02,117.018034,36.658241
2020-02-02,116.988004,36.649269
2020-02-02,116.988004,36.649269
2020-02-02,0.0,0.0
2020-02-02,116.988004,36.649269
2020-02-02,0.0,0.0
2020-02-03,117.071714,36.663525
2020-02-03,117.047849,36.667658
2020-02-03,117.105765,36.68273
2020-02-03,117.048614,36.677392
2020-02-03,117.048614,36.677392
2020-02-03,117.040276,36.690283
2020-02-03,120.517693,36.894096
2020-02-03,120.539225,36.864568
2020-02-03,120.517693,36.894096
2020-02-03,120.524301,36.865246
2020-02-03,117.50222,36.018068
2020-02-03,117.536591,35.994791
2020-02-03,117.226847,35.089726
2020-02-03,116.82196,36.538395
2020-02-03,120.33469,37.337191
2020-02-03,120.395492,37.359774
2020-02-03,116.45723,36.2989
2020-02-03,116.988004,36.649269
2020-02-03,116.780556,36.553733
2020-02-03,0.0,0.0
2020-02-03,116.817613,35.767769
2020-02-03,116.793528,35.757101
2020-02-03,116.793528,35.757101
2020-02-03,117.056593,35.904173
2020-02-03,120.415528,36.399964
2020-02-03,120.455303,36.384614
2020-02-03,116.780556,36.553733
2020-02-03,116.75269,36.55045
2020-02-03,117.097095,36.193129
2020-02-03,0.0,0.0
2020-02-03,116.988746,36.685078
2020-02-03,117.04856,36.677351
2020-02-03,116.988004,36.649269
2020-02-03,0.0,0.0
2020-02-04,117.626941,35.483039
2020-02-04,0.0,0.0
2020-02-04,119.797042,36.377548
2020-02-04,0.0,0.0
2020-02-04,120.517693,36.894096
2020-02-04,0.0,0.0
2020-02-04,115.781476,36.112098
2020-02-04,115.782999,36.115283
2020-02-04,117.536591,35.994791
2020-02-04,117.772463,35.914213
2020-02-04,116.086185,37.226437
2020-02-04,0.0,0.0
2020-02-04,115.992304,36.455581
2020-02-04,115.97851,36.458263
2020-02-04,117.226847,35.089726
2020-02-04,117.175028,35.080894
2020-02-04,117.175028,35.080894
2020-02-04,117.163056,35.088216
2020-02-04,118.827979,36.697591
2020-02-04,118.83033,36.698025
2020-02-04,120.33469,37.337191
2020-02-04,120.410313,37.386396
2020-02-04,120.410313,37.386396
2020-02-04,120.451932,37.36033
2020-02-04,120.372215,36.11468
2020-02-04,120.374731,36.087609
2020-02-04,117.079737,36.65386
2020-02-04,117.047849,36.667658
2020-02-04,117.047849,36.667658
2020-02-04,117.04856,36.677351
2020-02-04,116.780556,36.553733
2020-02-04,116.75269,36.55045
2020-02-04,117.11884,36.170434
2020-02-04,117.097095,36.193129
2020-02-04,116.75269,36.55045
2020-02-04,0.0,0.0
2020-02-04,116.089221,35.386128
2020-02-04,0.0,0.0
2020-02-05,117.626941,35.483039
2020-02-05,0.0,0.0
2020-02-05,117.668455,36.203176
2020-02-05,0.0,0.0
2020-02-05,119.797042,36.377548
2020-02-05,0.0,0.0
2020-02-05,118.829654,36.696511
2020-02-05,118.83827,36.699767
2020-02-05,118.83827,36.699767
2020-02-05,118.980996,36.352256
2020-02-05,118.980996,36.352256
2020-02-05,118.970717,36.35236
2020-02-05,118.970717,36.35236
2020-02-05,118.830273,36.693132
2020-02-05,117.047849,36.667658
2020-02-05,116.988004,36.649269
2020-02-05,120.517693,36.894096
2020-02-05,0.0,0.0
2020-02-05,115.798741,36.118275
2020-02-05,115.785981,36.125049
2020-02-05,117.226847,35.089726
2020-02-05,117.163056,35.088216
2020-02-05,118.827979,36.697591
2020-02-05,118.83033,36.698025
2020-02-05,118.83033,36.698025
2020-02-05,118.83827,36.699767
2020-02-05,118.83827,36.699767
2020-02-05,118.980996,36.352256
2020-02-05,118.980996,36.352256
2020-02-05,118.970717,36.35236
2020-02-05,120.33469,37.337191
2020-02-05,120.451932,37.36033
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,115.992947,36.409453
2020-02-05,116.008025,36.473996
2020-02-05,116.75269,36.55045
2020-02-05,0.0,0.0
2020-02-05,116.75269,36.55045
2020-02-05,0.0,0.0
2020-02-05,116.75269,36.55045
2020-02-05,0.0,0.0
2020-02-05,116.689138,36.199945
2020-02-05,0.0,0.0
2020-02-05,116.689138,36.199945
2020-02-05,0.0,0.0
2020-02-05,117.056593,35.904173
2020-02-05,0.0,0.0
2020-02-05,117.097095,36.193129
2020-02-05,117.087357,36.147015
2020-02-06,115.781476,36.112098
2020-02-06,115.782999,36.115283
2020-02-06,116.171695,37.165069
2020-02-06,116.077382,37.216028
2020-02-06,117.738356,34.560797
2020-02-06,0.0,0.0
2020-02-06,116.000733,36.440461
2020-02-06,116.008025,36.473996
2020-02-06,116.000733,36.440461
2020-02-06,116.008025,36.473996
2020-02-06,115.944373,36.430123
2020-02-06,115.97851,36.458263
2020-02-06,115.944373,36.430123
2020-02-06,115.97851,36.458263
2020-02-06,115.980069,36.446162
2020-02-06,115.97851,36.458263
2020-02-06,117.226847,35.089726
2020-02-06,117.163056,35.088216
2020-02-06,120.451932,37.36033
2020-02-06,120.395492,37.359774
2020-02-06,116.008025,36.473996
2020-02-06,0.0,0.0
2020-02-06,116.008025,36.473996
2020-02-06,0.0,0.0
2020-02-06,115.988491,36.434645
2020-02-06,115.992947,36.409453
2020-02-06,117.526228,36.681259
2020-02-06,116.988004,36.649269
2020-02-06,117.052453,36.676116
2020-02-06,116.988004,36.649269
2020-02-06,117.01059,36.717798
2020-02-06,116.988004,36.649269
2020-02-07,119.772554,36.38253
2020-02-07,0.0,0.0
2020-02-07,115.798741,36.118275
2020-02-07,115.800041,36.124405
2020-02-07,116.086185,37.226437
2020-02-07,116.077382,37.216028
2020-02-07,117.981675,36.584149
2020-02-07,118.0529,36.807708
2020-02-07,117.244312,36.159144
2020-02-07,0.0,0.0
2020-02-07,117.15067,36.191463
2020-02-07,117.087357,36.147015
2020-02-07,116.988004,36.649269
2020-02-07,0.0,0.0
2020-02-08,117.452053,35.102689
2020-02-08,0.0,0.0
2020-02-08,121.638034,36.81549
2020-02-08,121.619649,36.809803
2020-02-08,117.040276,36.690283
2020-02-08,0.0,0.0
2020-02-08,120.373996,36.101433
2020-02-08,0.0,0.0
2020-02-08,117.087357,36.147015
2020-02-08,0.0,0.0
2020-02-08,118.0529,36.807708
2020-02-08,0.0,0.0
2020-02-08,117.738356,34.560797
2020-02-08,0.0,0.0
2020-02-08,117.244312,36.159144
2020-02-08,117.087357,36.147015
2020-02-08,117.087357,36.147015
2020-02-08,0.0,0.0
2020-02-09,121.619649,36.809803
2020-02-09,121.526587,36.918103
2020-02-09,116.988004,36.649269
2020-02-09,0.0,0.0
2020-02-09,117.040276,36.690283
2020-02-09,116.988004,36.649269
2020-02-09,115.800041,36.124405
2020-02-09,0.0,0.0
2020-02-09,117.772463,35.914213
2020-02-09,117.087357,36.147015
2020-02-10,117.452053,35.102689
2020-02-10,0.0,0.0
2020-02-10,121.168409,36.78022
2020-02-10,0.0,0.0
2020-02-10,121.526587,36.918103
2020-02-10,0.0,0.0
2020-02-11,117.163056,35.088216
2020-02-11,0.0,0.0
2020-02-12,117.668455,36.203176
2020-02-12,0.0,0.0
2020-02-12,118.63145,35.796822
2020-02-12,0.0,0.0
2020-02-12,117.163056,35.088216
2020-02-12,0.0,0.0
2020-02-12,119.132328,36.699697
2020-02-12,118.63145,35.796822
2020-02-13,116.077382,37.216028
2020-02-13,0.0,0.0
2020-02-14,117.163056,35.088216
,0.0,0.0
2020-02-15,116.077382,37.216028
